NIF,Razón social,Comunidad,Provincia,Localidad,Último año con cuentas,Tipos de cuentas,Sector Infocif,Estado
A06543235,ABENGOA SOLAR EXTREMADURA SA,Extremadura,Badajoz,Mérida,0,Individuales,Consultoría empresarial y otros,-
B10134641,ABER EXTREMEÑA SL,Extremadura,Cáceres,Cáceres,0,,,-
B06571194,ABERMU COSMETICA SL,Extremadura,Badajoz,Badajoz,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B10442028,ABJ GESTION EFICIENCIA ENERGETICA SL,Extremadura,Cáceres,Cáceres,0,,Consultoría empresarial y otros,-
B06510200,ABLALLAP SL,Extremadura,Badajoz,Badajoz,0,,Inmobiliarias y similares,-
B06531479,ABLONIOS TRADUCCIONES SL,Extremadura,Badajoz,Higuera la Real,0,,Productos y actividades relacionados con ocio y cultura,-
B06471122,ABM CASTELNOVO SL,Extremadura,Badajoz,Mérida,0,,Transporte terrestre,-
B10466134,ABM SABOREX SL,Extremadura,Cáceres,Carcaboso,0,Individuales,Productos alimenticios / Parafarmacia,-
B10442903,ABOGADO MELCHOR SLP,Extremadura,Cáceres,Losar de la Vera,0,Individuales,Consultoría empresarial y otros,-
B06417299,ABOGADOS INTEGRALES ASESORES PALACIOS & LORIDO SLP,Extremadura,Badajoz,Badajoz,0,Individuales,Consultoría empresarial y otros,-
B06560015,ABOGADOS LEGALEXCONSULTORIA JURIDICA SL,Extremadura,Badajoz,Mérida,0,,Consultoría empresarial y otros,-
B10451342,ABOGADOS Y ASESORES TRIBUTARIOS DE EXTREMADURA SLP,Extremadura,Cáceres,Cáceres,0,Individuales,Consultoría empresarial y otros,-
B06667430,ABOGADOS Y ECONOMISTAS ESPECIALIZADOS SLL,Extremadura,Badajoz,Badajoz,0,Individuales,Consultoría empresarial y otros,-
B06557847,ABOGAEX SL,Extremadura,Badajoz,Azuaga,0,Individuales,Consultoría empresarial y otros,-
B10444404,ABOGAFIS CONSULTORES JURIDICOS SL,Extremadura,Cáceres,Plasencia,0,Individuales,Consultoría empresarial y otros,-
B10468015,ABONA GLOBAL SL,Extremadura,Cáceres,Miajadas,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B10356939,ABONOS NATURALES DEL GUADIANA SL,Extremadura,Cáceres,Campo Lugar,0,,Productos electrónicos / eléctricos,-
B10446144,ABONOS ORGANICOS DEL SUR SL,Extremadura,Cáceres,Miajadas,0,Individuales,,-
B06682421,ABONOS ORGANICOS EXTREMEÑOS LA FUENTE SL,Extremadura,Badajoz,Fuente del Maestre,0,,Productos químicos y plásticos,-
B06320527,ABONOS VALLECILLO SL,Extremadura,Badajoz,Olivenza,2019,Individuales,"Agricultura, ganadería y pesca",-
B06502215,ABRAHAM VARGAS NAVARRO SL,Extremadura,Badajoz,Montijo,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B10335107,ABRIL 2005 SL,Extremadura,Cáceres,Jarandilla de la Vera,0,,Inmobiliarias y similares,-
B06660427,ABRIL AHORRO SL,Extremadura,Badajoz,Fuente de Cantos,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B06349948,ABRIL GESTION Y PROMOCION SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B10413789,ABRO AYUDA A DOMICILIO SL,Extremadura,Cáceres,Nuñomoral,0,Individuales,Utilities / Servicios de utilidad pública,-
B10376168,ABSOLEM SL,Extremadura,Cáceres,Cáceres,0,,Utilities / Servicios de utilidad pública,-
B06644967,ABSTRACTO PRODUCCIONES SL,Extremadura,Badajoz,Badajoz,0,Individuales,Radio y Televisión,-
B06592323,ABTECNICO SOLINTEC SL,Extremadura,Badajoz,Mérida,2017,Individuales,Productos alimenticios / Parafarmacia,-
A10006609,ABUD JACOB PROMOTORA DE NEGOCIOS SA,Extremadura,Cáceres,Cáceres,0,,,-
B06751028,ABUEYADAS GOURMET SL,Extremadura,Badajoz,Badajoz,0,Individuales,"Agricultura, ganadería y pesca",-
B10259182,ABUIN IZQUIERDO SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B06367213,ABULAGAR SL,Extremadura,Badajoz,Zafra,0,,,-
B06571558,AC STRESS SL,Extremadura,Badajoz,Orellana la Vieja,0,Individuales,SERVICO DE COMIDA,-
B10484533,AC2 INNOVACION SL,Extremadura,Cáceres,Torremocha,0,Individuales,Consultoría empresarial y otros,-
B06270946,ACA ELECTROMEDICINA SL,Extremadura,Badajoz,Badajoz,0,,,-
B10304558,ACAD FORMACION SL,Extremadura,Cáceres,Cáceres,0,,Consultoría empresarial y otros,-
B06389548,ACADARBOL SL,Extremadura,Badajoz,Santa Marta,0,,"Agricultura, ganadería y pesca",-
B06644389,ACADEMIA 21 CENTRO DE FORMACION EXTREMEÑO SL,Extremadura,Badajoz,Don Benito,0,Individuales,Gobierno / Estado,-
B10254159,ACADEMIA ANTON SL,Extremadura,Cáceres,Cáceres,0,,,-
B06543540,ACADEMIA AVANCE XXI SL,Extremadura,Badajoz,Puebla de la Calzada,0,,,-
B06499883,ACADEMIA BIBLOS SL,Extremadura,Badajoz,Badajoz,0,Individuales,Gobierno / Estado,-
B02188720,ACADEMIA CAMPUS SL,Extremadura,Cáceres,Plasencia,0,Individuales,,-
B10303634,ACADEMIA CORPE SL,Extremadura,Cáceres,Torre de Don Miguel,0,Individuales,Gobierno / Estado,-
B06223846,ACADEMIA DE ESTUDIOS OMECA SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06423735,ACADEMIA DE PELUQUERIA Y ESTETICA FELI SL,Extremadura,Badajoz,Mérida,0,Individuales,Otros / varios,-
B10206167,ACADEMIA GOLDEN GATE SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B10306652,ACADEMIA HOYOS PIÑAS SL,Extremadura,Cáceres,Navalmoral de la Mata,0,,Gobierno / Estado,-
B10387827,ACADEMIA IMAGEN SL,Extremadura,Cáceres,Navalmoral de la Mata,0,,Productos cosméticos / Higiene /Cuidado Personal,-
B06120398,ACADEMIA IZOS SL,Extremadura,Badajoz,Badajoz,0,,,-
B06442750,ACADEMIA JALIQUE SL,Extremadura,Badajoz,Villanueva de la Serena,0,Individuales,Gobierno / Estado,-
B06342968,ACADEMIA LUSITANIA SL,Extremadura,Badajoz,Mérida,0,Individuales,,-
B10385730,ACADEMIA MALDONADO SL,Extremadura,Cáceres,Moraleja,0,,Gobierno / Estado,-
B10431641,ACADEMIA MC CENTRO DE FORMACION SL,Extremadura,Cáceres,Cáceres,0,Individuales,Gobierno / Estado,-
B06353668,ACADEMIA NUESTRA SEÑORA DE LA SOLEDAD SL,Extremadura,Badajoz,Villalba de los Barros,0,,,-
B10228823,ACADEMIA PREPOL SL,Extremadura,Cáceres,Plasencia,0,Individuales,,-
B06608400,ACADEMIA RAMON Y CAJAL SL,Extremadura,Badajoz,Almendralejo,0,,Consultoría empresarial y otros,-
B06191688,ACADEMIA RURAL DE ENSEÑANZA SL,Extremadura,Badajoz,Monesterio,0,Individuales,,-
B06555668,ACADEMIA TECNICA ALMENDRO SL,Extremadura,Badajoz,Don Benito,0,,Gobierno / Estado,-
B06274880,ACADEMIA VALDEPASILLAS SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06347819,ACADEMIA VALVERDE SL,Extremadura,Badajoz,Badajoz,0,,,-
B06234579,ACADEMIACASTUERA SL,Extremadura,Badajoz,Castuera,0,Individuales,,-
B06403869,ACAFORM SL,Extremadura,Badajoz,Badajoz,0,,Gobierno / Estado,-
B06612279,ACAMPANATURA SL,Extremadura,Badajoz,Guareña,0,,Alojamiento y casinos,-
B10380475,ACANTO PROYECTOS SL,Extremadura,Cáceres,Cáceres,0,Individuales,Consultoría empresarial y otros,-
B06672026,ACAVIR SOLUTIONS SL,Extremadura,Cáceres,Guadalupe,0,Individuales,"Agricultura, ganadería y pesca",-
B06375679,ACAYMO 74 SL,Extremadura,Badajoz,Badajoz,0,,,-
B10375376,ACC PRODUCCIONES AUDIOVISUALES DE EXTREMADURA SL,Extremadura,Cáceres,Plasencia,0,Individuales,Productos electrónicos / eléctricos,-
B10405041,ACCESEL-AUDIOSPORT SL,Extremadura,Cáceres,Valencia de Alcántara,0,,,-
B06556591,ACCESORIOS FRIGORIFICOS JEC SL,Extremadura,Badajoz,Almendralejo,0,,Productos electrónicos / eléctricos,-
B06684740,ACCION E INICIATIVA TECNICO COMERCIAL SL,Extremadura,Badajoz,Badajoz,0,Individuales,Bebidas y otros productos para el consumo,-
B06579411,ACCION MEDIOAMBIENTAL J&J CONTROL SL,Extremadura,Badajoz,Valle de Santa Ana,0,Individuales,Consultoría empresarial y otros,-
A06108724,ACCION PRIMA SA,Extremadura,Badajoz,Montijo,0,Individuales,,-
B10487080,ACCIONES DINAMICAS SL,Extremadura,Cáceres,Cáceres,0,Individuales,Consultoría empresarial y otros,-
B10407161,ACCUORE PONIENTE SL,Extremadura,Cáceres,Navalmoral de la Mata,0,Individuales,"Agricultura, ganadería y pesca",-
B86598786,ACCURATE TRADUCCIONES SL,Extremadura,Badajoz,Zafra,0,,Productos y actividades relacionados con ocio y cultura,-
B10373496,ACE ASESORES TURGALIUM SL,Extremadura,Cáceres,Trujillo,0,,Consultoría empresarial y otros,-
B06706949,ACEBARROS SL,Extremadura,Badajoz,Puebla del Prior,0,,,-
B06699599,ACECONEX 2016 SL,Extremadura,Badajoz,Orellana la Vieja,2016,Individuales,Inmobiliarias y similares,-
B10266559,ACEDO LOPEZ MANUALIDADES SLL,Extremadura,Cáceres,Cáceres,0,,,-
B06515324,ACEDO MORIANO SL,Extremadura,Badajoz,Puebla del Prior,0,Individuales,,-
B10464063,ACEIDE SERVICIOS TECNICOS SLP,Extremadura,Cáceres,Plasencia,0,Individuales,Equipos industriales,-
B85661999,ACEITE CON ALMA SL,Extremadura,Badajoz,Jerez de los Caballeros,0,Individuales,"Agricultura, ganadería y pesca",-
B06013361,ACEITERA VALVERDEÑA SL,Extremadura,Badajoz,Valverde de Leganés,0,Individuales,,-
B06234306,ACEITES BONET SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
A10296333,ACEITES CAÑAVERAL SA,Extremadura,Cáceres,Cañaveral,0,,Petróleo y gas,-
B06335889,ACEITES CLEMEN SL,Extremadura,Badajoz,Puebla de Sancho Pérez,0,Individuales,,-
B10345940,ACEITES DE CALIDAD DE EXTREMADURA SL,Extremadura,Cáceres,Cáceres,0,,Productos alimenticios / Parafarmacia,-
B47474705,ACEITES DE LA VERA SL,Extremadura,Cáceres,Cuacos de Yuste,0,Individuales,,-
B10388080,ACEITES DE PRENSA TRADICIONALES SL,Extremadura,Cáceres,Gata,0,,Productos alimenticios / Parafarmacia,-
B10060937,ACEITES DE TRUJILLO SL,Extremadura,Cáceres,Trujillo,0,Individuales,,-
B10342541,ACEITES EL EMPIEDRO SL,Extremadura,Cáceres,Cáceres,0,Individuales,Productos alimenticios / Parafarmacia,-
B06714695,ACEITES GARDIEL SL,Extremadura,Badajoz,Villafranca de los Barros,0,Individuales,Productos alimenticios / Parafarmacia,-
B06158943,ACEITES LA PIEDAD SL,Extremadura,Badajoz,Almendralejo,0,Individuales,,-
B06173850,ACEITES PARRALEJO SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06466569,ACEITES SIERRA LORIANA SL,Extremadura,Badajoz,Puebla de Obando,0,Individuales,"Agricultura, ganadería y pesca",-
B10399871,ACEITES VALDELAGAR SL,Extremadura,Cáceres,Valdelacasa de Tajo,0,Individuales,Productos alimenticios / Parafarmacia,-
B06377121,ACEITES Y CEREALES DE EXTREMADURA SL,Extremadura,Badajoz,"Santos de Maimona, Los",0,,,-
B10461382,ACEITES Y DERIVADOS LA EXTREMEÑA SL,Extremadura,Cáceres,Casar de Cáceres,0,Individuales,Productos alimenticios / Parafarmacia,-
B06246995,ACEITON TERRAZAS SL,Extremadura,Badajoz,Hornachos,0,Individuales,,-
B06522890,ACEITUNAS AGUEDO SL,Extremadura,Badajoz,Valverde de Leganés,2015,Individuales,"Agricultura, ganadería y pesca",-
B10389351,ACEITUNAS APARICIO SL,Extremadura,Cáceres,"Granja, La",0,,Equipamiento industrial en metal,-
B06252936,ACEITUNAS BARROSO E HIJOS SL,Extremadura,Badajoz,Almendralejo,0,Individuales,,-
B06301709,ACEITUNAS CAMPOS DE HORNACHOS SL,Extremadura,Badajoz,Hornachos,0,,,-
B06690184,ACEITUNAS CUELLAR GARCIA SL,Extremadura,Badajoz,Fuente del Maestre,0,Individuales,Productos alimenticios / Parafarmacia,-
B06406649,ACEITUNAS GONGA SL,Extremadura,Badajoz,Almendralejo,0,,Minoristas de alimentos / medicamentos,-
B06181549,ACEITUNAS GUIFRA SL,Extremadura,Badajoz,Almendralejo,0,Individuales,,-
B06215404,ACEITUNAS JOPE SL,Extremadura,Badajoz,Almendralejo,0,Individuales,,-
B06376297,ACEITUNAS LA MIMOSA SL,Extremadura,Badajoz,Badajoz,0,,,-
B06705727,ACEITUNAS LA PRENSA SL,Extremadura,Badajoz,Villalba de los Barros,0,,Petróleo y gas,-
B06304109,ACEITUNAS LAS VEGAS SL,Extremadura,Badajoz,Lobón,0,,,-
B06533152,ACEITUNAS LAYPA SL,Extremadura,Badajoz,Almendralejo,0,Individuales,Minoristas de alimentos / medicamentos,-
B10227882,ACEITUNAS LOS ANGELES SL,Extremadura,Cáceres,Torrecilla de los Ángeles,0,Individuales,,-
A10420107,ACEITUNAS MERINO SA,Extremadura,Cáceres,Moraleja,2019,Individuales,Productos alimenticios / Parafarmacia,-
B06599187,ACEITUNAS MORENO SL,Extremadura,Badajoz,Fuente del Maestre,0,Individuales,Productos alimenticios / Parafarmacia,-
B10457596,ACEITUNAS NORBERTO SL,Extremadura,Cáceres,Palomero,0,Individuales,Transporte terrestre,-
B06675326,ACEITUNAS ODAL SL,Extremadura,Badajoz,Almendralejo,0,Individuales,Transporte terrestre,-
B06420095,ACEITUNAS PADIN SL,Extremadura,Badajoz,Fuente del Maestre,2015,Individuales,Productos alimenticios / Parafarmacia,-
B06705578,ACEITUNAS VILLAOLIVA SL,Extremadura,Badajoz,Almendralejo,0,,Equipamiento industrial en metal,-
B06694871,ACEITUNAS VINOS Y ACEITES SL,Extremadura,Badajoz,Arroyo de San Serván,0,Individuales,Productos alimenticios / Parafarmacia,-
B10368330,ACEITUNAS Y ENCURTIDOS FEROLIVAS SL,Extremadura,Cáceres,Acebo,0,,Petróleo y gas,-
B06751978,ACEITUNAS Y ENCURTIDOS OLIBER SL,Extremadura,Badajoz,Berlanga,0,Individuales,Equipamiento industrial en metal,-
B06649446,ACEITUNAS Y ENCURTIDOS RUIZ LOPEZ SL,Extremadura,Badajoz,Lobón,0,Individuales,Otros / varios,-
B06390165,ACEITUNERA DE ACEUCHAL SL,Extremadura,Badajoz,Aceuchal,0,Individuales,,-
B10364743,ACEITUNERA DEL TRALGAS SL,Extremadura,Cáceres,Villanueva de la Sierra,2016,Individuales,Minoristas de alimentos / medicamentos,-
F06144661,ACEITUNERA SAN JOSE DE CORTE DE PELEAS S COOP,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06552210,ACEMEN RIEGOS SL,Extremadura,Badajoz,Badajoz,0,Individuales,Consultoría empresarial y otros,-
B06448047,ACEMICA SL,Extremadura,Badajoz,Almendralejo,0,Individuales,Productos forestales,-
F10020154,ACENORCA SCL,Extremadura,Cáceres,Montehermoso,2017,Individuales,Productos alimenticios / Parafarmacia,-
B10316552,ACER 04 SL,Extremadura,Cáceres,Navalmoral de la Mata,0,Individuales,Inmobiliarias y similares,-
B10383073,ACERAGUA SL,Extremadura,Cáceres,Cáceres,0,,Equipamiento industrial en metal,-
B06653497,ACERCALIDAD SL,Extremadura,Badajoz,Almendralejo,0,Individuales,,-
B06559777,ACEREX HIERROS SL,Extremadura,Badajoz,Jerez de los Caballeros,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
A10057149,ACERO RUIZ E HIJOS SA,Extremadura,Cáceres,Miajadas,0,,,-
B10136166,ACERO VAZQUEZ E HIJOS SL,Extremadura,Cáceres,Miajadas,0,Individuales,,-
B06610190,ACERO Y CERAMICAS SL,Extremadura,Badajoz,Berlanga,0,Individuales,Transporte terrestre,-
B06434971,ACEROS CORRUGADOS BUSTOS SL,Extremadura,Badajoz,Don Benito,0,Individuales,Construcción y Desarrollo,-
A06024269,ACEROS MERIDA SA,Extremadura,Badajoz,Mérida,0,Individuales,,-
B10428076,ACEROS SAN ANTONIO SL,Extremadura,Cáceres,Casatejada,0,Individuales,Industria maderera,-
B06415186,ACEUCHAL ASESORES SLL,Extremadura,Badajoz,Aceuchal,0,,Consultoría empresarial y otros,-
V06046049,ACEVEDOS DEL CORDELSAT,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06668461,ACEX AUDITORES SL,Extremadura,Badajoz,Badajoz,0,Individuales,Consultoría empresarial y otros,-
B10154664,ACI GEVAL CORCHOS SL,Extremadura,Cáceres,Cáceres,0,,,-
B06240733,ACIERTOS FG SL,Extremadura,Badajoz,Badajoz,0,,,-
B06515043,ACIMEX ACTUACIONES INMOBILIARIAS SL,Extremadura,Badajoz,Mérida,0,Individuales,Inmobiliarias y similares,-
B06581318,ACINIPO ARQUITECTURA Y CONSTRUCCION SIN BARRERAS SL,Extremadura,Badajoz,Badajoz,0,,Inmobiliarias y similares,-
B06243885,ACL SERVICIOS INFORMATICOS Y DE FORMACION SL,Extremadura,Badajoz,Badajoz,0,Individuales,Consultoría empresarial y otros,-
B06593180,ACME SOLAR SL,Extremadura,Badajoz,Mérida,0,,Productos electrónicos / eléctricos,-
B06264204,ACN GESTION EMPRESARIAL SL,Extremadura,Badajoz,Badajoz,0,,,-
F06564454,ACOAGRO SCOOP,Extremadura,Badajoz,Badajoz,0,,,-
B06126767,ACODEX SL,Extremadura,Badajoz,Don Benito,0,Individuales,,-
B10475846,ACOLLADO TECNICOS SL,Extremadura,Cáceres,Miajadas,0,Individuales,,-
B06653216,ACOMAN MANTENIMIENTOS Y REFORMAS SL,Extremadura,Badajoz,Badajoz,0,,Equipos industriales,-
B06327654,ACOMETAL METALURGICA SL,Extremadura,Badajoz,Puebla de Sancho Pérez,0,,,-
B10309631,ACONEX SOLANA SL,Extremadura,Cáceres,Cáceres,0,,Consultoría empresarial y otros,-
B10489037,ACOPA-DESING SL,Extremadura,Cáceres,Valencia de Alcántara,0,Individuales,Consultoría empresarial y otros,-
F06139109,ACOPAEX SCL,Extremadura,Badajoz,Mérida,2017,Individuales,"Agricultura, ganadería y pesca",-
F10027423,ACOREX SCL,Extremadura,Badajoz,Mérida,2014,"Individuales, Consolidadas",Minoristas (excepto alimentos y medicamentos),-
B06688436,ACORN PADEL SL,Extremadura,Badajoz,Santa Amalia,0,Individuales,Utilities / Servicios de utilidad pública,-
B06373815,ACORSALUD SL,Extremadura,Badajoz,Badajoz,0,,Cuidado de la salud,-
B06011555,ACOSTA ASPERSION SL,Extremadura,Badajoz,Badajoz,0,,,-
B06571855,ACOSTA GALAN MERIDA SL,Extremadura,Badajoz,Mérida,2019,Individuales,Transporte terrestre,-
B10305159,ACOSTA LLERA ARQUITECTURA Y URBANISMO SL,Extremadura,Cáceres,Cáceres,0,,Consultoría empresarial y otros,-
B10471837,ACOSTA SOLUCIONES COMERCIALES EXTREMEÑAS SL,Extremadura,Cáceres,Coria,0,,"Agricultura, ganadería y pesca",-
B49184419,ACOTEL INFORMATICA Y TELECOMUNICACIONES SL,Extremadura,Badajoz,Badajoz,0,,,-
F10383222,ACOTEX SC,Extremadura,Cáceres,Talayuela,0,Individuales,,-
B06751846,ACOVEX ACOMPAÑAMIENTO EN LA VEJEZ EN EXTREMADURA SLL,Extremadura,Badajoz,Badajoz,0,Individuales,Minoristas (excepto alimentos y medicamentos),-
B06670533,ACOWINES SL,Extremadura,Badajoz,Almendralejo,0,,Bebidas y otros productos para el consumo,-
B06510218,ACQUALEMA SL,Extremadura,Badajoz,Monesterio,0,,Minoristas (excepto alimentos y medicamentos),-
B06464978,ACR GESTION SANVICENTE SL,Extremadura,Badajoz,San Vicente de Alcántara,0,Individuales,Consultoría empresarial y otros,-
B10053080,ACR GESTION SL,Extremadura,Cáceres,Cáceres,0,Individuales,,-
B06717334,ACRA DIGITAL SL,Extremadura,Badajoz,Badajoz,0,,Minoristas (excepto alimentos y medicamentos),-
B06618664,ACRIAL EXTREMADURA SL,Extremadura,Badajoz,Almendralejo,0,Individuales,Equipamiento industrial en metal,-
B06669873,ACRO HOSTELERIA Y SERVICIOS SL,Extremadura,Badajoz,Badajoz,0,Individuales,SERVICO DE COMIDA,-
A91416339,ACROM WINDOWS SA,Extremadura,Badajoz,Mérida,0,,Industria maderera,-
B06376800,ACROPOLIS GESTION Y FOMENTO SL,Extremadura,Badajoz,Don Benito,0,Individuales,,-
B10373496,ACE ASESORES TURGALIUM SL,Extremadura,Cáceres,Trujillo,0,,Consultoría empresarial y otros,-
B06706949,ACEBARROS SL,Extremadura,Badajoz,Puebla del Prior,0,,,-
B06699599,ACECONEX 2016 SL,Extremadura,Badajoz,Orellana la Vieja,2016,Individuales,Inmobiliarias y similares,-
B10266559,ACEDO LOPEZ MANUALIDADES SLL,Extremadura,Cáceres,Cáceres,0,,,-
B06515324,ACEDO MORIANO SL,Extremadura,Badajoz,Puebla del Prior,0,Individuales,,-
B10464063,ACEIDE SERVICIOS TECNICOS SLP,Extremadura,Cáceres,Plasencia,0,Individuales,Equipos industriales,-
B85661999,ACEITE CON ALMA SL,Extremadura,Badajoz,Jerez de los Caballeros,0,Individuales,"Agricultura, ganadería y pesca",-
B06013361,ACEITERA VALVERDEÑA SL,Extremadura,Badajoz,Valverde de Leganés,0,Individuales,,-
B06234306,ACEITES BONET SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
A10296333,ACEITES CAÑAVERAL SA,Extremadura,Cáceres,Cañaveral,0,,Petróleo y gas,-
B06335889,ACEITES CLEMEN SL,Extremadura,Badajoz,Puebla de Sancho Pérez,0,Individuales,,-
B10345940,ACEITES DE CALIDAD DE EXTREMADURA SL,Extremadura,Cáceres,Cáceres,0,,Productos alimenticios / Parafarmacia,-
B47474705,ACEITES DE LA VERA SL,Extremadura,Cáceres,Cuacos de Yuste,0,Individuales,,-
B10388080,ACEITES DE PRENSA TRADICIONALES SL,Extremadura,Cáceres,Gata,0,,Productos alimenticios / Parafarmacia,-
B10060937,ACEITES DE TRUJILLO SL,Extremadura,Cáceres,Trujillo,0,Individuales,,-
B10342541,ACEITES EL EMPIEDRO SL,Extremadura,Cáceres,Cáceres,0,Individuales,Productos alimenticios / Parafarmacia,-
B06714695,ACEITES GARDIEL SL,Extremadura,Badajoz,Villafranca de los Barros,0,Individuales,Productos alimenticios / Parafarmacia,-
B06158943,ACEITES LA PIEDAD SL,Extremadura,Badajoz,Almendralejo,0,Individuales,,-
B06173850,ACEITES PARRALEJO SL,Extremadura,Badajoz,Badajoz,0,Individuales,,-
B06466569,ACEITES SIERRA LORIANA SL,Extremadura,Badajoz,Puebla de Obando,0,Individuales,"Agricultura, ganadería y pesca",-
B10399871,ACEITES VALDELAGAR SL,Extremadura,Cáceres,Valdelacasa de Tajo,0,Individuales,Productos alimenticios / Parafarmacia,-
B06377121,ACEITES Y CEREALES DE EXTREMADURA SL,Extremadura,Badajoz,"Santos de Maimona, Los",0,,,-
B10461382,ACEITES Y DERIVADOS LA EXTREMEÑA SL,Extremadura,Cáceres,Casar de Cáceres,0,Individuales,Productos alimenticios / Parafarmacia,-
B06246995,ACEITON TERRAZAS SL,Extremadura,Badajoz,Hornachos,0,Individuales,,-
